packet_id,t_arrival_s,src,dst,hops,pkt_bytes,queue_ms,tx_ms,prop_ms,total_ms
0,0.009616834415863978,7,1,3,1388,0.0,0.11104,27.395822623159983,27.506862623159982
1,0.01896159303916179,17,15,1,1142,0.0,0.030453333333333332,7.81465423264772,7.845107565981053
2,0.02850063703865881,14,8,2,1368,0.0,0.07296000000000001,13.599313595588162,13.672273595588162
3,0.029619814198065145,6,35,5,1299,0.0,0.17320000000000002,30.92019181515974,31.09339181515974
4,0.029965563796858653,5,38,3,1254,0.0,0.10031999999999999,34.4328334208485,34.53315342084851
5,0.035776205859683254,27,2,3,1281,0.0,0.10247999999999999,27.499499350139303,27.601979350139302
6,0.04141604863671355,1,5,3,1318,0.0,0.10543999999999999,43.69703292462754,43.802472924627544
7,0.053913232462911534,13,14,4,1280,0.0,0.13653333333333334,22.69101119271772,22.827544526051057
8,0.05423040925164557,33,39,2,1269,0.0,0.06768,15.38750967591162,15.455189675911619
9,0.05841665263781823,1,36,3,1151,0.0,0.09208,38.49072083162516,38.582800831625164
10,0.05869839786500946,12,35,4,1171,0.0,0.12490666666666665,14.930969771812036,15.055876438478702
11,0.0630544923771053,26,14,3,1240,0.0,0.0992,15.659180878998965,15.758380878998967
12,0.06997980178864052,29,38,2,1338,0.0,0.07135999999999999,24.196821439477738,24.26818143947774
13,0.07152738108700017,17,0,2,1261,0.0,0.06725333333333333,18.17463488417859,18.241888217511924
14,0.07645372373764646,10,27,3,1396,0.0,0.11168,22.97906312930243,23.090743129302428
15,0.07706881675295137,21,17,2,1273,0.0,0.06789333333333333,7.675531051500697,7.7434243848340305
16,0.07743512582251214,9,13,2,1163,5.164822855508164,0.06202666666666666,19.89640124023696,25.12325076241179
17,0.07869584263104171,21,6,4,1230,0.0,0.13119999999999998,25.88189374000362,26.013093740003622
18,0.08230063973252234,5,24,2,1249,0.0,0.06661333333333333,20.51296813075633,20.579581464089667
19,0.0839525810514763,6,22,6,1347,0.0,0.21552,36.79026448756558,37.00578448756558
20,0.08894212485073079,22,39,4,1102,0.0,0.11754666666666667,24.851564527640125,24.96911119430679
21,0.08983643033958007,16,2,4,1099,0.0,0.11722666666666666,34.8726755534333,34.989902220099964
22,0.09718831139615791,30,35,1,1080,0.0,0.0288,4.618279167696684,4.647079167696684
23,0.10209665484901495,7,24,3,1022,0.0,0.08176,33.217227875078606,33.29898787507861
24,0.10471983946486696,5,36,2,1270,0.0,0.06773333333333333,16.957425229483942,17.025158562817275
25,0.10638818629011422,18,23,4,1385,0.0,0.14773333333333333,29.48216652221112,29.62989985554445
26,0.10820146504730728,37,12,3,1246,0.0,0.09967999999999999,14.747713582662813,14.847393582662813
27,0.1085097736355299,4,2,1,1024,0.0,0.027306666666666667,7.454583682747644,7.481890349414311
28,0.10922830265302812,14,18,2,1146,0.0,0.06112,19.00807549336879,19.06919549336879
29,0.11196958445944512,5,14,2,1362,0.0,0.07264,23.044820998584022,23.117460998584022
30,0.1135243054040844,6,24,5,1020,0.0,0.136,35.12686310587529,35.26286310587528
31,0.11858113283434482,17,30,1,1245,0.0,0.0332,12.891012568937324,12.924212568937325
32,0.12141509534400932,23,10,3,1176,0.0,0.09408,12.541307385779698,12.635387385779698
33,0.12236681516120139,23,22,4,1368,0.0,0.14592000000000002,22.264997991275298,22.410917991275298
34,0.12421116850623128,13,17,1,1205,0.0,0.03213333333333333,17.684108780471853,17.716242113805187
35,0.12677739545499334,4,39,2,1226,0.0,0.06538666666666666,16.339246837309553,16.40463350397622
36,0.1281527289007445,10,35,2,1289,0.0,0.06874666666666666,11.044588776930485,11.113335443597151
37,0.12944037378436973,15,10,2,1329,0.0,0.07088,9.48389458237405,9.554774582374051
38,0.13295603251313992,30,24,5,1206,0.0,0.16079999999999997,28.599090800867785,28.759890800867787
