u,v,pkts,avg_queue_ms,avg_tx_ms,avg_prop_ms,max_queue_ms,tx_utilization
10,14,2385,0.6449278637813212,0.031980153738644344,2.067216356937362,29.224162722996994,0.0012712111111111125
9,21,1892,0.27154110258581216,0.03203388301620859,5.463238591735508,20.28995881872042,0.0010101351111111109
4,34,1884,0.3336448420150647,0.03203824486907291,2.7909561433049785,35.58062528119876,0.0010060008888888893
9,14,1874,0.2785817052817239,0.031919316969050156,6.455268596491732,19.41773542387004,0.0009969466666666666
4,35,1712,0.3627751018970348,0.03213799065420562,2.6422450179247927,28.213348028558016,0.0009170040000000005
0,34,1704,0.25161520171351004,0.031900704225352114,2.0947754821803124,25.824342905842457,0.0009059800000000001
12,33,1588,0.25711508158145996,0.03206648194794292,3.6469208911347386,19.087679535493507,0.0008486928888888892
14,25,1530,0.2037543550099444,0.032064366013071874,3.0665295622190656,20.28685104716743,0.0008176413333333326
9,17,1375,0.30646837168536695,0.031932470303030244,2.2122924597650715,19.61012577464416,0.0007317857777777764
0,12,1303,0.21164028805528623,0.032025991302123316,7.40299312840183,19.039335422114334,0.0006954977777777779
10,20,1067,0.20131660377958013,0.03212958450484225,4.780299459105824,16.357694789242316,0.0005713711111111113
15,20,909,0.18165743106408866,0.03220212687935465,4.703595123268124,26.943348437242776,0.0004878622222222229
14,35,889,0.11162570888559291,0.03207811023622049,8.977372419993248,20.427858700102774,0.00047529066666666687
34,37,867,0.16471447962392477,0.03200633602460589,5.249944972080297,25.36497315140096,0.0004624915555555551
3,14,847,0.07547785075605025,0.03212212514757974,11.962952337340791,10.868218556289833,0.00045345733333333396
25,30,824,0.36310045475873737,0.032129870550161845,4.369084684549563,33.731448138182074,0.0004412502222222227
31,33,826,0.1207975951786652,0.03193530266343828,5.4643429094299725,23.67677029999271,0.000439642666666667
6,15,801,0.012850342039506744,0.03206009155222637,10.391708455855175,3.833464615911275,0.00042800222222222193
10,32,779,0.1484303239016638,0.03195193838254175,6.816787482148205,18.70849005317865,0.000414842666666667
9,27,761,0.019672460304218084,0.032055260621988636,14.456578175873052,13.203763325670081,0.00040656755555555586
23,25,758,0.042979119983589914,0.032144942832014085,7.407561466623196,14.979505226619949,0.0004060977777777779
21,26,755,0.2030851794719725,0.03191095805739516,3.740673690771393,19.626348972231256,0.00040154622222222247
0,11,749,0.17630890647408876,0.032107983978638205,6.053729419830751,15.326668518873987,0.00040081466666666685
21,24,722,0.09421759007165437,0.03202740535549396,9.244969365871771,15.817884202441235,0.00038539644444444396
22,35,716,0.13239487945875533,0.032104618249534436,5.870072672405775,16.64666003643056,0.00038311511111111093
2,14,661,0.1175437736038447,0.032124054462934946,6.587652577774218,19.35355887702883,0.0003539
9,39,661,0.17547441917825335,0.032081613716591025,5.610921031765867,19.438526096330122,0.00035343244444444445
